"genes" "Transcript.length..including.UTRs.and.CDS."
"6189" "Cacnb1" 3352
"6190" "ENSMOCG00000007168" 131
"6191" "ENSMOCG00000007169" 76
"6192" "ENSMOCG00000007170" 65
"6193" "Mir674" 100
"6194" "Card19" 812
"6195" "Reps2" 2067
"6196" "Fmnl3" 4462
"6197" "Blmh" 2348
"6198" "Nxt2" 600
"6199" "Chrm2" 1401
"6200" "Josd1" 2987
"6201" "C1qb" 1058
"6202" "Fmnl1" 3318
"6203" "Mgat2" 1329
"6204" "Tmem86b" 1143
"6205" "ENSMOCG00000007184" 444
"6206" "Gm23613" 118
"6207" "ENSMOCG00000007186" 132
"6208" "ENSMOCG00000007187" 132
"6209" "ENSMOCG00000007188" 882
"6210" "ENSMOCG00000007190" 99
"6211" "Pan2" 4618
"6212" "ENSMOCG00000007192" 612
"6213" "Map3k11" 3553
"6214" "Trpv5" 2577
"6215" "Mir615" 81
"6216" "Pcnx4" 4300
"6217" "Dpy19l4" 2702
"6218" "Rap2c" 3661
"6219" "ENSMOCG00000007199" 3315
"6220" "Ccdc34" 1107
"6221" "ENSMOCG00000007201" 6235
"6222" "Socs5" 4456
"6223" "ENSMOCG00000007203" 130
"6224" "ENSMOCG00000007204" 129
"6225" "Lpar6" 1035
"6226" "ENSMOCG00000007206" 83
"6227" "Exosc9" 1465
"6228" "ENSMOCG00000007210" 927
"6229" "Mir494" 85
"6230" "ENSMOCG00000007212" 537
"6231" "ENSMOCG00000007213" 53
"6232" "ENSMOCG00000007214" 108
"6233" "C2cd2" 2082
"6234" "Sf3a2" 1636
"6235" "Csrp2" 879
"6236" "ENSMOCG00000007218" 498
"6237" "Krt82" 1761
"6238" "ENSMOCG00000007220" 1180
"6239" "Mir143" 63
"6240" "Gm23172" 126
"6241" "ENSMOCG00000007223" 582
"6242" "Bcl2l14" 1219
"6243" "ENSMOCG00000007226" 131
"6244" "ENSMOCG00000007227" 1374
"6245" "Mir488" 108
"6246" "Plxna2" 10473
"6247" "ENSMOCG00000007231" 363
"6248" "Olfr481" 939
"6249" "ENSMOCG00000007233" 114
"6250" "Phldb2" 5457
"6251" "ENSMOCG00000007235" 606
"6252" "Vipas39" 2325
"6253" "Klf17" 1041
"6254" "Kctd15" 2386
"6255" "ENSMOCG00000007239" 1537
"6256" "ENSMOCG00000007240" 1708
"6257" "Mir137" 73
"6258" "ENSMOCG00000007242" 126
"6259" "Mir592" 96
"6260" "S1pr3" 3032
"6261" "Snora36b" 132
"6262" "ENSMOCG00000007246" 291
"6263" "Adgrf4" 2073
"6264" "Gm27544" 163
"6265" "Copb1" 2808
"6266" "ENSMOCG00000007250" 114
"6267" "Gpr55" 960
"6268" "ENSMOCG00000007253" 1368
"6269" "Cacnb3" 2538
"6270" "ENSMOCG00000007256" 72
"6271" "Cc2d2a" 4899
"6272" "ENSMOCG00000007258" 81
"6273" "Myo15" 6918
"6274" "2610318N02Rik" 927
"6275" "ENSMOCG00000007262" 321
"6276" "ENSMOCG00000007264" 122
"6277" "Ilvbl" 2231
"6278" "Alg6" 2481
"6279" "ENSMOCG00000007267" 333
"6280" "ENSMOCG00000007268" 114
"6281" "Capn6" 3311
"6282" "ENSMOCG00000007270" 216
"6283" "Mst1r" 4143
"6284" "Coil" 2746
"6285" "ENSMOCG00000007274" 73
"6286" "Ogfod2" 1372
"6287" "ENSMOCG00000007277" 92
"6288" "Mbl1" 1232
"6289" "Vwc2l" 669
"6290" "Lrp1b" 10071
"6291" "Gm765" 570
"6292" "Gm22843" 128
"6293" "Atoh1" 1056
"6294" "Mapk8ip1" 2847
"6295" "Slc35f4" 1458
"6296" "Ehbp1" 5093
"6297" "ENSMOCG00000007288" 116
"6298" "Taok1" 2984
"6299" "Abcb7" 4085
"6300" "ENSMOCG00000007291" 2660
"6301" "ENSMOCG00000007292" 73
"6302" "Krt9" 1902
"6303" "ENSMOCG00000007294" 73
"6304" "Ebf2" 1728
"6305" "ENSMOCG00000007296" 1080
"6306" "Txk" 1680
"6307" "ENSMOCG00000007299" 1059
"6308" "ENSMOCG00000007300" 105
"6309" "Alkbh4" 894
"6310" "Slc13a3" 3174
"6311" "ENSMOCG00000007303" 978
"6312" "Tenm1" 8196
"6313" "Atp1b3" 1513
"6314" "ENSMOCG00000007307" 948
"6315" "Hsd17b12" 1821
"6316" "Snord7" 97
"6317" "Mir202" 72
"6318" "Tox4" 2898
"6319" "Tc2n" 3997
"6320" "ENSMOCG00000007313" 981
"6321" "Scrt2" 2901
"6322" "Mir32" 70
"6323" "ENSMOCG00000007317" 76
"6324" "Ndufa5" 489
"6325" "Ctnna1" 3691
"6326" "ENSMOCG00000007320" 531
"6327" "Nkain2" 627
"6328" "ENSMOCG00000007324" 591
"6329" "Lama4" 5592
"6330" "ENSMOCG00000007327" 1305
"6331" "ENSMOCG00000007328" 927
"6332" "ENSMOCG00000007329" 619
"6333" "Mir335" 92
"6334" "ENSMOCG00000007331" 70
"6335" "Nrl" 1197
"6336" "Il34" 1627
"6337" "Lrcol1" 489
"6338" "Mir129-1" 73
"6339" "Cyb5r3" 1879
"6340" "1600014C10Rik" 1205
"6341" "Atxn7l3b" 294
"6342" "Snord13" 105
"6343" "Cgas" 1305
"6344" "Tnfrsf13b" 744
"6345" "Bend3" 2965
"6346" "ENSMOCG00000007345" 150
"6347" "Ppp1r16a" 2675
"6348" "Dgkg" 5674
"6349" "Gnrhr" 1187
"6350" "Cntd1" 1475
"6351" "Mir125a" 68
"6352" "Klhl42" 3318
"6353" "Cmc2" 369
"6354" "Mir3544" 61
"6355" "Gm27834" 126
"6356" "Psmb4" 938
"6357" "Mir122" 66
"6358" "Gpr52" 1086
"6359" "ENSMOCG00000007361" 411
"6360" "ENSMOCG00000007362" 642
"6361" "ENSMOCG00000007364" 156
"6362" "Urm1" 929
"6363" "ENSMOCG00000007366" 91
"6364" "ENSMOCG00000007367" 568
"6365" "ENSMOCG00000007368" 936
"6366" "Mir133a-1" 68
"6367" "Frs3" 2092
"6368" "Cftr" 4431
"6369" "Tecta" 7364
"6370" "Gm22532" 124
"6371" "Taf6" 2438
"6372" "Capza1" 1744
"6373" "ENSMOCG00000007376" 107
"6374" "Gimap1" 1206
"6375" "ENSMOCG00000007379" 1188
"6376" "Psd4" 3222
"6377" "Fndc10" 672
"6378" "Cldn4" 633
"6379" "ENSMOCG00000007384" 107
"6380" "Actl6b" 1582
"6381" "Mir152" 73
"6382" "Calm2" 1221
"6383" "Ap4s1" 345
"6384" "ENSMOCG00000007390" 966
"6385" "Lonp1" 2971
"6386" "ENSMOCG00000007392" 135
"6387" "Mir190a" 67
"6388" "ENSMOCG00000007394" 1557
"6389" "Gid4" 1016
"6390" "ENSMOCG00000007398" 105
"6391" "Dexi" 1417
"6392" "Hexim2" 1233
"6393" "Txndc12" 2195
"6394" "ENSMOCG00000007403" 255
"6395" "ENSMOCG00000007404" 633
"6396" "Ptpn20" 1263
"6397" "Ap5s1" 573
"6398" "Mir744" 100
"6399" "Phf24" 6213
"6400" "ENSMOCG00000007409" 378
"6401" "ENSMOCG00000007410" 138
"6402" "Mir26b" 85
"6403" "Lrp3" 2310
"6404" "Fis1" 900
"6405" "ENSMOCG00000007415" 106
"6406" "ENSMOCG00000007418" 1032
"6407" "Ppp1r3c" 2744
"6408" "Mir505" 90
"6409" "Cdx4" 855
"6410" "Tigd4" 1539
"6411" "Ppp1r17" 1796
"6412" "Shcbp1" 2543
"6413" "Cebpe" 1233
"6414" "Pln" 159
"6415" "ENSMOCG00000007427" 70
"6416" "ENSMOCG00000007428" 133
"6417" "Itfg2" 2012
"6418" "Klhl29" 2631
"6419" "Bcl7c" 951
"6420" "Prr22" 1257
"6421" "Lrmda" 687
"6422" "Olfr543" 891
"6423" "Prss27" 1140
"6424" "ENSMOCG00000007437" 105
"6425" "ENSMOCG00000007438" 73
"6426" "ENSMOCG00000007439" 213
"6427" "U8" 136
"6428" "ENSMOCG00000007441" 62
"6429" "ENSMOCG00000007442" 1212
"6430" "Mfsd1" 1888
"6431" "Mak16" 1151
"6432" "Gm26265" 134
"6433" "ENSMOCG00000007447" 887
"6434" "Brsk2" 1866
"6435" "Ppp1r3a" 3294
"6436" "ENSMOCG00000007451" 825
"6437" "ENSMOCG00000007452" 2906
"6438" "Cntn3" 3087
"6439" "Nqo2" 1389
"6440" "Klk9" 943
"6441" "Ltbp2" 5394
"6442" "ENSMOCG00000007458" 105
"6443" "ENSMOCG00000007460" 138
"6444" "ENSMOCG00000007461" 168
"6445" "Rtraf" 1070
"6446" "ENSMOCG00000007463" 321
"6447" "Mir598" 79
"6448" "Ntng2" 3473
"6449" "Tssk6" 822
"6450" "ENSMOCG00000007467" 1578
"6451" "5730409E04Rik" 1709
"6452" "Gm27572" 256
"6453" "Efl1" 3595
"6454" "Fign" 2280
"6455" "ENSMOCG00000007474" 101
"6456" "ENSMOCG00000007475" 105
"6457" "Derl2" 1484
"6458" "Mir33" 69
"6459" "Cyp26b1" 3379
"6460" "Scel" 1749
"6461" "ENSMOCG00000007481" 240
"6462" "Ube2w" 2341
"6463" "Dnajc5" 4803
"6464" "Gm23650" 70
"6465" "Yap1" 1413
"6466" "Dock2" 5496
"6467" "Atp2a2" 5733
"6468" "Tsku" 1065
"6469" "Mir27b" 73
"6470" "Pcare" 3801
"6471" "Bves" 1068
"6472" "ENSMOCG00000007494" 79
"6473" "Ptbp1" 1074
"6474" "Krt28" 1380
"6475" "Trpc7" 2651
"6476" "Slc1a7" 1686
"6477" "ENSMOCG00000007500" 549
"6478" "Mafk" 1916
"6479" "Mroh1" 5138
"6480" "Atoh7" 435
"6481" "Mindy2" 3491
"6482" "Kcns3" 2209
"6483" "Amot" 6989
"6484" "Tor3a" 1613
"6485" "ENSMOCG00000007508" 444
"6486" "ENSMOCG00000007509" 129
"6487" "Htr4" 1895
"6488" "Dll3" 1980
"6489" "E130309D02Rik" 2194
"6490" "Mir98" 108
"6491" "ENSMOCG00000007516" 82
"6492" "Tnfrsf18" 690
"6493" "ENSMOCG00000007519" 945
"6494" "Dhx35" 2112
"6495" "Paox" 1577
"6496" "ENSMOCG00000007522" 936
"6497" "ENSMOCG00000007524" 177
"6498" "Gm25820" 126
"6499" "Olfr73" 942
"6500" "ENSMOCG00000007527" 77
"6501" "ENSMOCG00000007528" 99
"6502" "Zfp956" 2604
"6503" "Mir200c" 69
"6504" "ENSMOCG00000007532" 2105
"6505" "Rabgap1l" 1434
"6506" "1700034E13Rik" 1455
"6507" "Aldh5a1" 2232
"6508" "1500009C09Rik" 228
"6509" "Tmtc3" 3089
"6510" "F8a" 1134
"6511" "ENSMOCG00000007540" 1495
"6512" "Acot7" 951
"6513" "Hspb9" 522
"6514" "Gm26039" 130
"6515" "Mtr" 6603
"6516" "Mir293" 83
"6517" "Clasrp" 2125
"6518" "Stk39" 3336
"6519" "Tcim" 321
"6520" "Pabpc4l" 1113
"6521" "ENSMOCG00000007552" 97
"6522" "ENSMOCG00000007553" 96
"6523" "Taf4" 3183
"6524" "Pi4kb" 3533
"6525" "ENSMOCG00000007557" 129
"6526" "ENSMOCG00000007559" 954
"6527" "Spata19" 759
"6528" "Mir133a-2" 103
"6529" "Mir378a" 66
"6530" "Kdsr" 1480
"6531" "ENSMOCG00000007565" 2583
"6532" "Npw" 610
"6533" "ENSMOCG00000007568" 101
"6534" "Dennd6a" 3911
"6535" "Riox1" 1761
"6536" "ENSMOCG00000007571" 390
"6537" "Nhlh2" 2450
"6538" "Zfp866" 1560
"6539" "ENSMOCG00000007574" 128
"6540" "Maoa" 3605
"6541" "Cd4" 1368
"6542" "Plcd3" 2367
"6543" "Kirrel2" 2154
"6544" "Wnt7a" 2067
"6545" "Mir92b" 83
"6546" "ENSMOCG00000007582" 102
"6547" "Map11" 2534
"6548" "Tmem8" 2316
"6549" "ENSMOCG00000007587" 107
"6550" "Krtdap" 273
"6551" "Itga2" 3760
"6552" "ENSMOCG00000007590" 128
"6553" "Mir15a" 83
"6554" "Snx32" 1674
"6555" "Rnf186" 681
"6556" "Nkiras2" 2141
"6557" "Kel" 2473
"6558" "Mir1306" 79
"6559" "ENSMOCG00000007598" 333
"6560" "Phyhip" 2880
"6561" "Onecut3" 1215
"6562" "ENSMOCG00000007602" 100
"6563" "Snapc4" 3975
"6564" "Clec4g" 1155
"6565" "Gna15" 1180
"6566" "ENSMOCG00000007608" 128
"6567" "ENSMOCG00000007609" 753
"6568" "Emilin3" 2494
"6569" "ENSMOCG00000007611" 76
"6570" "ENSMOCG00000007612" 309
"6571" "ENSMOCG00000007613" 1002
"6572" "Mirlet7e" 93
"6573" "Gripap1" 3058
"6574" "Nfx1" 3694
"6575" "Plcd4" 2367
"6576" "Olfm2" 1371
"6577" "6330403K07Rik" 357
"6578" "ENSMOCG00000007622" 435
"6579" "Nup153" 5818
"6580" "Cyb561a3" 1989
"6581" "Pbx1" 1293
"6582" "ENSMOCG00000007626" 105
"6583" "Ddx19b" 1353
"6584" "ENSMOCG00000007628" 86
"6585" "Smim19" 1139
"6586" "ENSMOCG00000007631" 57
"6587" "ENSMOCG00000007632" 128
"6588" "Eda" 1176
"6589" "Ptprz1" 7940
"6590" "Pdcd2l" 1177
"6591" "ENSMOCG00000007636" 327
"6592" "Cask" 4062
"6593" "Cd40lg" 933
"6594" "ENSMOCG00000007640" 273
"6595" "ENSMOCG00000007642" 525
"6596" "Fam205c" 948
"6597" "ENSMOCG00000007644" 103
"6598" "Car9" 1451
"6599" "ENSMOCG00000007646" 5109
"6600" "Slc5a5" 2229
"6601" "ENSMOCG00000007648" 86
"6602" "Ammecr1l" 4866
"6603" "Mtnr1b" 1095
"6604" "Tsnax" 2421
"6605" "Kit" 5074
"6606" "Bri3" 780
"6607" "Mir214" 110
"6608" "ENSMOCG00000007656" 128
"6609" "Mapkap1" 1602
"6610" "Edf1" 708
"6611" "Ppil6" 870
"6612" "ENSMOCG00000007660" 378
"6613" "ENSMOCG00000007662" 97
"6614" "Tle3" 4070
"6615" "ENSMOCG00000007664" 312
"6616" "ENSMOCG00000007666" 993
"6617" "Tm2d1" 988
"6618" "Mtf1" 2691
"6619" "ENSMOCG00000007670" 86
"6620" "ENSMOCG00000007671" 127
"6621" "Smoc2" 1341
"6622" "Rabif" 3080
"6623" "ENSMOCG00000007674" 79
"6624" "ENSMOCG00000007675" 471
"6625" "ENSMOCG00000007676" 780
"6626" "ENSMOCG00000007677" 3094
"6627" "ENSMOCG00000007679" 813
"6628" "Pecam1" 2776
"6629" "Zmym3" 6025
"6630" "ENSMOCG00000007683" 104
"6631" "Dnah1" 13164
"6632" "Snx18" 4397
"6633" "Rbm43" 1032
"6634" "Pik3cg" 4464
"6635" "ENSMOCG00000007688" 86
"6636" "Cnr2" 1083
"6637" "Plac1" 519
"6638" "Coa7" 883
"6639" "ENSMOCG00000007693" 225
"6640" "Znrf3" 4889
"6641" "Snord11" 84
"6642" "Tbc1d22a" 3098
"6643" "Mir221" 95
"6644" "ENSMOCG00000007698" 552
"6645" "Rps3" 860
"6646" "ENSMOCG00000007702" 1179
"6647" "ENSMOCG00000007703" 64
"6648" "ENSMOCG00000007704" 70
"6649" "Arhgef16" 2217
"6650" "ENSMOCG00000007706" 570
"6651" "Nanos1" 792
"6652" "Siglec15" 1026
"6653" "ENSMOCG00000007710" 96
"6654" "Nek9" 6417
"6655" "Gm23130" 73
"6656" "Olfr308" 927
"6657" "ENSMOCG00000007714" 1248
"6658" "Nfia" 1497
"6659" "Mogat2" 1005
"6660" "Zfp771" 1225
"6661" "Mir770" 94
"6662" "Tmprss11d" 1254
"6663" "ENSMOCG00000007720" 414
"6664" "Vcam1" 3112
"6665" "ENSMOCG00000007723" 88
"6666" "Lamtor3" 1277
"6667" "ENSMOCG00000007726" 1179
"6668" "Nkg7" 770
"6669" "ENSMOCG00000007728" 240
"6670" "Fam83h" 4314
"6671" "Acy1" 1612
"6672" "ENSMOCG00000007732" 75
"6673" "Ascc1" 1678
"6674" "Atp1b1" 2554
"6675" "Foxo6" 2621
"6676" "Fmr1nb" 498
"6677" "Olfr520" 951
"6678" "Gm25410" 139
"6679" "Nudt18" 1784
"6680" "Mir199a-2" 110
"6681" "Mir21a" 92
"6682" "Pifo" 1979
"6683" "Irf2bpl" 2337
"6684" "Crlf1" 1686
"6685" "ENSMOCG00000007748" 92
"6686" "ENSMOCG00000007749" 192
"6687" "Twf1" 2886
"6688" "Mb" 462
"6689" "Reep2" 1546
"6690" "Ccdc157" 2636
"6691" "Bend4" 987
"6692" "ENSMOCG00000007755" 131
"6693" "Nop58" 1997
"6694" "Cyp19a1" 1642
"6695" "ENSMOCG00000007759" 126
"6696" "Slc6a13" 2151
"6697" "Mir450b" 82
"6698" "Mir384" 88
"6699" "Htr3b" 1370
"6700" "Prune1" 3274
"6701" "ENSMOCG00000007765" 1020
"6702" "ENSMOCG00000007766" 81
"6703" "Ms4a12" 804
"6704" "Doc2g" 1665
"6705" "ENSMOCG00000007771" 1887
"6706" "Itga3" 4918
"6707" "ENSMOCG00000007773" 876
"6708" "ENSMOCG00000007774" 100
"6709" "Gm4846" 1681
"6710" "ENSMOCG00000007776" 67
"6711" "ENSMOCG00000007778" 76
"6712" "Gm24648" 132
"6713" "St8sia2" 1237
"6714" "ENSMOCG00000007782" 699
"6715" "ENSMOCG00000007783" 1607
"6716" "ENSMOCG00000007784" 744
"6717" "Tmed1" 1304
"6718" "Grm5" 3075
"6719" "Gad1" 3233
"6720" "Chpf2" 3720
"6721" "Ceacam10" 753
"6722" "ENSMOCG00000007791" 2430
"6723" "Usp20" 4141
"6724" "Ccar1" 3936
"6725" "Mirlet7d" 103
"6726" "Diablo" 708
"6727" "ENSMOCG00000007796" 154
"6728" "ENSMOCG00000007797" 405
"6729" "ENSMOCG00000007799" 49
"6730" "Zcwpw1" 2206
"6731" "ENSMOCG00000007802" 116
"6732" "Bcorl1" 6114
"6733" "ENSMOCG00000007804" 309
"6734" "Btd" 2722
"6735" "ENSMOCG00000007807" 70
"6736" "ENSMOCG00000007808" 89
"6737" "Scn9a" 6444
"6738" "Grk2" 3280
"6739" "Lta4h" 2048
"6740" "ENSMOCG00000007812" 2256
"6741" "Mir183" 70
"6742" "ENSMOCG00000007816" 567
"6743" "Morc2b" 3138
"6744" "ENSMOCG00000007818" 122
"6745" "Lin28a" 630
"6746" "ENSMOCG00000007820" 210
"6747" "Pigt" 2845
"6748" "ENSMOCG00000007822" 480
"6749" "ENSMOCG00000007823" 78
"6750" "Ap2a1" 3436
"6751" "Flna" 8506
"6752" "Snx8" 1435
"6753" "ENSMOCG00000007828" 483
"6754" "ENSMOCG00000007829" 77
"6755" "Cox6b2" 544
"6756" "Mir379" 66
"6757" "Clnk" 1332
"6758" "Nmt1" 1838
"6759" "Susd2" 2753
"6760" "ENSMOCG00000007837" 321
"6761" "Slc10a7" 3400
"6762" "Shf" 1783
"6763" "ENSMOCG00000007840" 121
"6764" "Tmem25" 2422
"6765" "Emid1" 1260
"6766" "Mir145a" 70
"6767" "Zup1" 3581
"6768" "ENSMOCG00000007845" 56
"6769" "Snai1" 1585
"6770" "Mtcl1" 6989
"6771" "ENSMOCG00000007849" 81
"6772" "ENSMOCG00000007851" 1473
"6773" "Cdcp1" 2487
"6774" "Cldn3" 660
"6775" "ENSMOCG00000007855" 132
"6776" "Zbtb8a" 1624
"6777" "Tcaim" 3070
"6778" "ENSMOCG00000007858" 98
"6779" "Mir134" 71
"6780" "Mindy3" 1992
"6781" "Trib1" 2215
"6782" "Kcnj11" 1173
"6783" "Cacng2" 972
"6784" "Olfr1434" 1085
"6785" "F10" 1493
"6786" "Mir410" 81
"6787" "ENSMOCG00000007870" 555
"6788" "Mir672" 99
"6789" "ENSMOCG00000007872" 127
"6790" "Ppfia2" 3774
"6791" "Gm37419" 114
"6792" "Mir301b" 97
"6793" "Tm6sf1" 2730
"6794" "Thoc6" 1500
"6795" "Ccdc47" 3190
"6796" "ENSMOCG00000007880" 397
"6797" "Smurf2" 5285
"6798" "Eya1" 3502
"6799" "Fbxl18" 2729
"6800" "Tspyl1" 1110
"6801" "Snora30" 129
"6802" "Pdx1" 852
"6803" "ENSMOCG00000007888" 117
"6804" "ENSMOCG00000007889" 121
"6805" "Clip2" 4907
"6806" "Ube2q1" 1251
"6807" "IP6K2" 1803
"6808" "ENSMOCG00000007893" 957
"6809" "Mir665" 94
"6810" "Armc8" 4684
"6811" "Capn8" 2112
"6812" "Ovgp1" 1740
"6813" "Nudt5" 660
"6814" "ENSMOCG00000007899" 930
"6815" "Cdk15" 1412
"6816" "ENSMOCG00000007902" 63
"6817" "Ier3" 1126
"6818" "ENSMOCG00000007904" 1818
"6819" "ENSMOCG00000007905" 894
"6820" "ENSMOCG00000007907" 129
"6821" "Zfp560" 2202
"6822" "Gck" 1870
"6823" "ENSMOCG00000007910" 77
"6824" "ENSMOCG00000007911" 615
"6825" "ENSMOCG00000007912" 531
"6826" "ENSMOCG00000007913" 80
"6827" "ENSMOCG00000007915" 2012
"6828" "ENSMOCG00000007917" 321
"6829" "Fzd10" 1749
"6830" "Neurl4" 5264
"6831" "Dlx6os1" 142
"6832" "Rxra" 4654
"6833" "Vim" 1812
"6834" "B3gnt8" 1353
"6835" "Ccdc102a" 1845
"6836" "Gm25151" 124
"6837" "Triqk" 576
"6838" "ENSMOCG00000007928" 558
"6839" "Igsf8" 2483
"6840" "Mir499" 79
"6841" "Nampt" 2480
"6842" "Dap" 1620
"6843" "ENSMOCG00000007933" 759
"6844" "ENSMOCG00000007935" 378
"6845" "Plcb2" 3552
"6846" "ENSMOCG00000007938" 1036
"6847" "ENSMOCG00000007939" 558
"6848" "ENSMOCG00000007940" 84
"6849" "Cdc25c" 1341
"6850" "Gm27443" 96
"6851" "Msra" 702
"6852" "Olfr1020" 954
"6853" "Sel1l2" 2210
"6854" "Mir10b" 68
"6855" "ENSMOCG00000007947" 120
"6856" "Khk" 1621
"6857" "ENSMOCG00000007950" 82
"6858" "ENSMOCG00000007951" 579
"6859" "Has3" 777
"6860" "Pabpn1l" 858
"6861" "Pnkd" 2999
"6862" "Magea10" 981
"6863" "ENSMOCG00000007958" 261
"6864" "Prss44" 1113
"6865" "Atp23" 992
"6866" "Slc32a1" 2823
"6867" "Mapt" 5084
"6868" "Mir28a" 86
"6869" "Mir23b" 74
"6870" "Gm23320" 127
"6871" "Rhob" 591
"6872" "Tenm4" 8496
"6873" "Ppp1r14d" 507
"6874" "ENSMOCG00000007971" 585
"6875" "Ids" 4861
"6876" "1110032A03Rik" 783
"6877" "ENSMOCG00000007975" 133
"6878" "Tusc2" 1571
"6879" "Plxna1" 9008
"6880" "Mir186" 71
"6881" "Tmem262" 536
"6882" "ENSMOCG00000007980" 491
"6883" "ENSMOCG00000007981" 1606
"6884" "Mir23a" 75
"6885" "ENSMOCG00000007983" 127
"6886" "Procr" 1227
"6887" "ENSMOCG00000007988" 645
"6888" "ENSMOCG00000007989" 948
"6889" "Prrc2b" 10396
"6890" "ENSMOCG00000007991" 136
"6891" "Slc45a1" 2558
"6892" "Shroom3" 5661
"6893" "Mir34a" 97
"6894" "Ksr1" 2625
"6895" "Olfr1279" 669
"6896" "Mir29a" 88
"6897" "Il1rn" 910
"6898" "Usp49" 2070
"6899" "Vax1" 1234
"6900" "ENSMOCG00000008002" 124
"6901" "Csf1" 3047
"6902" "Slamf6" 1005
"6903" "Stx18" 1583
"6904" "Myo9b" 6366
"6905" "Olfr1440" 948
"6906" "Bmp10" 1298
"6907" "Sgk1" 2677
"6908" "Hmgcr" 4456
"6909" "Mir34b" 84
"6910" "Gm22711" 131
"6911" "Xpo6" 4552
"6912" "Foxg1" 1440
"6913" "Ctnna3" 2688
"6914" "Mir431" 91
"6915" "ENSMOCG00000008019" 509
"6916" "Fip1l1" 2030
"6917" "ENSMOCG00000008021" 84
"6918" "ENSMOCG00000008024" 2856
"6919" "Erlec1" 1440
"6920" "Wwp1" 3278
"6921" "Ascc2" 2607
"6922" "ENSMOCG00000008029" 897
"6923" "ENSMOCG00000008030" 537
"6924" "ENSMOCG00000008031" 61
"6925" "Zfp619" 3417
"6926" "Stk11ip" 3180
"6927" "Stc2" 2125
"6928" "ENSMOCG00000008035" 69
"6929" "Tmprss7" 2579
"6930" "Ercc8" 2125
"6931" "Gm22382" 125
"6932" "Cfap45" 1802
"6933" "Mdm2" 3027
"6934" "ENSMOCG00000008045" 68
"6935" "ENSMOCG00000008046" 468
"6936" "Mir7-2" 97
"6937" "Gbp2" 2318
"6938" "Smim23" 465
"6939" "ENSMOCG00000008050" 274
"6940" "ENSMOCG00000008051" 825
"6941" "Calm3" 447
"6942" "ENSMOCG00000008054" 129
"6943" "Osbpl5" 3061
"6944" "ENSMOCG00000008058" 75
"6945" "1810037I17Rik" 1124
"6946" "ENSMOCG00000008060" 84
"6947" "P3h2" 2118
"6948" "Mastl" 4287
"6949" "Hdhd2" 2145
"6950" "Npdc1" 1668
"6951" "Ppp1r2" 2616
"6952" "Snord65" 72
"6953" "Chrna3" 2424
"6954" "Amigo3" 1536
"6955" "ENSMOCG00000008070" 2448
"6956" "Aire" 1801
"6957" "Rnf24" 3891
"6958" "ENSMOCG00000008075" 414
"6959" "Mir193a" 66
"6960" "ENSMOCG00000008078" 68
"6961" "Adgra1" 3155
"6962" "ENSMOCG00000008080" 240
"6963" "Cstf2" 2087
"6964" "Snord92" 85
"6965" "Purg" 1834
"6966" "Gucd1" 2980
"6967" "Agrp" 652
"6968" "Cbx3" 1856
"6969" "Vwde" 2784
"6970" "A930017K11Rik" 1704
"6971" "Mamld1" 3296
"6972" "Dusp12" 1465
"6973" "ENSMOCG00000008093" 598
"6974" "Myom1" 5458
"6975" "ENSMOCG00000008096" 76
"6976" "Emsy" 4216
"6977" "ENSMOCG00000008099" 73
"6978" "Spire1" 4804
"6979" "Bbs1" 3182
"6980" "Pcbp1" 1071
"6981" "Olfr959" 936
"6982" "Gm22858" 78
"6983" "ENSMOCG00000008106" 1005
"6984" "Hacd2" 3578
"6985" "D230025D16Rik" 2884
"6986" "ENSMOCG00000008112" 65
"6987" "Mir423" 109
"6988" "C3" 4623
"6989" "Dph7" 1598
"6990" "Krt7" 1569
"6991" "ENSMOCG00000008118" 255
"6992" "Pafah2" 1506
"6993" "Snord53" 78
"6994" "Plpp2" 1510
"6995" "Hand2" 1413
"6996" "Slitrk1" 2091
"6997" "Camk2g" 3631
"6998" "Fkbp7" 916
"6999" "Slc29a3" 2661
"7000" "Cyp4f39" 2255
"7001" "ENSMOCG00000008130" 82
"7002" "Ccdc169" 763
"7003" "Rab3gap1" 4203
"7004" "Ccdc154" 2076
"7005" "Mir150" 65
"7006" "Pde1b" 3100
"7007" "Hnrnph3" 2580
"7008" "Itsn2" 5945
"7009" "Qsox1" 2178
"7010" "Snord72" 81
"7011" "ENSMOCG00000008143" 930
"7012" "Xrcc3" 1252
"7013" "Mdn1" 16689
"7014" "Stxbp6" 633
"7015" "Gtsf1l" 456
"7016" "Mir144" 66
"7017" "Vti1a" 654
"7018" "ENSMOCG00000008152" 1887
"7019" "ENSMOCG00000008153" 92
"7020" "U7" 62
"7021" "ENSMOCG00000008155" 1016
"7022" "Sra1" 1083
"7023" "Gpr83" 3145
"7024" "ENSMOCG00000008158" 553
"7025" "ENSMOCG00000008159" 1184
"7026" "ENSMOCG00000008161" 224
"7027" "ENSMOCG00000008162" 1112
"7028" "Ndufa9" 1534
"7029" "Ckap4" 1989
"7030" "Egfl8" 943
"7031" "ENSMOCG00000008166" 116
"7032" "Ovca2" 1165
"7033" "Sox2" 960
"7034" "Sclt1" 2816
"7035" "ENSMOCG00000008172" 411
"7036" "Trit1" 2563
"7037" "ENSMOCG00000008174" 96
"7038" "Gm27868" 102
"7039" "Trmt11" 1907
